"tier","base_bgg_id","base_name","expansion_id","expansion_name","is_fan","is_promo"
"A","326485","Cthulhu Wars: Duel","336605","Cthulhu Wars: Duel – Family Reunion","False","False"
"S","253344","Cthulhu: Death May Die","434227","Cthulhu: Death May Die – Atlach-Nacha Elder One Box","False","False"
"S","253344","Cthulhu: Death May Die","256988","Cthulhu: Death May Die – Black Goat of the Woods","False","False"
"S","253344","Cthulhu: Death May Die","411558","Cthulhu: Death May Die – Dark Providence Investigators","False","False"
"S","253344","Cthulhu: Death May Die","434955","Cthulhu: Death May Die – Exclusive Insanities","False","False"
"S","253344","Cthulhu: Death May Die","435358","Cthulhu: Death May Die – Extra Campaigns","False","False"
"S","253344","Cthulhu: Death May Die","374972","Cthulhu: Death May Die – Fear of the Unknown: Animal Allies","False","False"
"S","253344","Cthulhu: Death May Die","454854","Cthulhu: Death May Die – Godzilla Rising","False","False"
"S","253344","Cthulhu: Death May Die","425623","Cthulhu: Death May Die – Godzilla Vs Cthulhu","False","False"
"S","253344","Cthulhu: Death May Die","374971","Cthulhu: Death May Die – Ithaqua the Wind-Walker","False","False"
"S","253344","Cthulhu: Death May Die","260936","Cthulhu: Death May Die – R'lyeh Rising","False","False"
"S","253344","Cthulhu: Death May Die","429775","Cthulhu: Death May Die – Robinson Crusoe Investigator","False","False"
"S","253344","Cthulhu: Death May Die","256987","Cthulhu: Death May Die – Scarlett Hayes","False","False"
"S","253344","Cthulhu: Death May Die","374590","Cthulhu: Death May Die – Season 4 Expansion","False","False"
"S","253344","Cthulhu: Death May Die","434938","Cthulhu: Death May Die – Season 6","False","False"
"S","253344","Cthulhu: Death May Die","256986","Cthulhu: Death May Die – Unspeakable Box","False","False"
"S","253344","Cthulhu: Death May Die","256985","Cthulhu: Death May Die – Yog–Sothoth","False","False"
"S","253344","Cthulhu: Death May Die","372781","Iron Maiden Pack #1","False","False"
"S","253344","Cthulhu: Death May Die","372782","Iron Maiden Pack #2","False","False"
"S","253344","Cthulhu: Death May Die","372783","Iron Maiden Pack #3","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","434227","Cthulhu: Death May Die – Atlach-Nacha Elder One Box","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","256988","Cthulhu: Death May Die – Black Goat of the Woods","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","375371","Cthulhu: Death May Die – Bonus Relic Cards","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","411558","Cthulhu: Death May Die – Dark Providence Investigators","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","434955","Cthulhu: Death May Die – Exclusive Insanities","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","435358","Cthulhu: Death May Die – Extra Campaigns","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","374972","Cthulhu: Death May Die – Fear of the Unknown: Animal Allies","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","425689","Cthulhu: Death May Die – Fear of the Unknown: R'lyeh Rising","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","454854","Cthulhu: Death May Die – Godzilla Rising","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","425623","Cthulhu: Death May Die – Godzilla Vs Cthulhu","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","374971","Cthulhu: Death May Die – Ithaqua the Wind-Walker","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","429775","Cthulhu: Death May Die – Robinson Crusoe Investigator","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","256987","Cthulhu: Death May Die – Scarlett Hayes","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","374590","Cthulhu: Death May Die – Season 4 Expansion","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","434938","Cthulhu: Death May Die – Season 6","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","375366","Cthulhu: Death May Die – Unknowable Box","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","256986","Cthulhu: Death May Die – Unspeakable Box","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","256985","Cthulhu: Death May Die – Yog–Sothoth","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","372781","Iron Maiden Pack #1","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","372782","Iron Maiden Pack #2","False","False"
"A","373600","Cthulhu: Death May Die – Fear of the Unknown","372783","Iron Maiden Pack #3","False","False"
"S","367150","Dune: War for Arrakis","446237","Dune: War for Arrakis - Ecological Testing Station Cards","False","False"
"S","367150","Dune: War for Arrakis","446802","Dune: War for Arrakis – Exclusive Extras","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","356743","Eclipse: Neue Gefahren","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","381603","Eclipse: Second Dawn for the Galaxy – Expanded Galaxy","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","305954","Eclipse: Second Dawn for the Galaxy – Galactic Events","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","375216","Eclipse: Second Dawn for the Galaxy – Gamemat","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","305950","Eclipse: Second Dawn for the Galaxy – Minor Species","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","368378","Eclipse: Second Dawn for the Galaxy – Outcasts","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","366202","Eclipse: Second Dawn for the Galaxy – Remnants of Worlds Afar","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","305955","Eclipse: Second Dawn for the Galaxy – Rift Cannon","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","368377","Eclipse: Second Dawn for the Galaxy – Seekers","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","294546","Eclipse: Second Dawn for the Galaxy – Supernova","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","350921","Eclipse: Second Dawn for the Galaxy – Turn Order Variant","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","381605","Eclipse: Second Dawn for the Galaxy – Warped Universe","False","False"
"S","246900","Eclipse: Second Dawn for the Galaxy","303298","Eclipse: Second Dawn for the Galaxy – Worlds Afar Collection","False","False"
"A","218509","Empires of the Void II","265664","Empires of the Void II: General Event Cards","False","False"
"A","218509","Empires of the Void II","274721","The Red Raven Fan Box #1","False","False"
"A","292126","Excavation Earth","328580","Excavation Earth: Pretty Boxes & Ancient Artefacts","False","False"
"S","122842","Exodus: Proxima Centauri","186955","Exodus: Edge of Extinction – Kickstarter Edition","False","False"
"S","122842","Exodus: Proxima Centauri","189970","Exodus: Edge of Extinction – Kickstarter Limited Action Cards","False","False"
"S","122842","Exodus: Proxima Centauri","189971","Exodus: Edge of Extinction – Kickstarter Limited Political Cards","False","False"
