"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","players","complexity","bgg_rating","bgg_comment","notes","bgg_game_url"
"B","8","38","316554","Dune: Imperium","7.626","2","True","False","True","False","False","Owned","1-4","3.0783","8.40603","Need more plays to see if its a keeper","","https://boardgamegeek.com/boardgame/316554"
"B","8","39","315727","Last Light","7.616","2","True","False","False","False","False","Owned","2-4","2.7778","7.31976","","","https://boardgamegeek.com/boardgame/315727"
"B","8","40","340865","Lords of Ragnarok","7.605","2","True","False","True","False","False","Owned","1-4","3.8194","7.26738","","","https://boardgamegeek.com/boardgame/340865"
"B","8","41","306881","Railroad Ink Challenge: Lush Green Edition","7.595","2","True","False","False","False","False","Owned","1-4","2.1081","7.55603","","","https://boardgamegeek.com/boardgame/306881"
"B","8","42","347117","Star Trek: Missions","7.585","2","True","False","False","False","False","Owned","2-6","2","6.74485","","","https://boardgamegeek.com/boardgame/347117"
"B","8","43","145976","Talon","7.575","2","True","False","False","False","False","Owned","2-6","2.6","7.36746","","","https://boardgamegeek.com/boardgame/145976"
"B","8","44","291508","Tiny Epic Dinosaurs","7.565","2","True","False","False","False","False","Owned","1-4","2.6452","7.27667","","","https://boardgamegeek.com/boardgame/291508"
"B","8","45","268864","Undaunted: Normandy","7.555","2","True","False","True","False","False","Owned","2","2.2727","7.75956","","","https://boardgamegeek.com/boardgame/268864"
"B","8","46","230244","Black Angel","7.545","1","True","False","True","False","False","Owned","1-4","3.8677","7.17902","","","https://boardgamegeek.com/boardgame/230244"
"B","8","47","318009","Dinosaur Island: Rawr 'n Write","7.535","1","True","False","False","False","False","Owned","1-4","2.8512","7.64705","","","https://boardgamegeek.com/boardgame/318009"
"B","8","48","283355","Dune","7.525","1","True","False","True","False","False","Owned","2-6","3.9749","7.9111","","","https://boardgamegeek.com/boardgame/283355"
"B","8","49","252752","Genotype: A Mendelian Genetics Game","7.515","1","True","False","True","False","False","Owned","1-5","2.7778","7.40084","","","https://boardgamegeek.com/boardgame/252752"
"B","8","50","318184","Imperium: Classics","7.505","1","True","False","False","False","False","Owned","1-4","3.6256","7.6801","","","https://boardgamegeek.com/boardgame/318184"
"B","8","51","368173","Let's Go! To Japan","7.494","1","True","False","False","False","False","Owned","1-4","2.2609","7.55973","","","https://boardgamegeek.com/boardgame/368173"
"B","8","52","59959","Letters from Whitechapel","7.484","1","True","False","False","False","False","Owned","2-6","2.6398","7.3291","","","https://boardgamegeek.com/boardgame/59959"
"B","8","53","358386","Moon","7.474","1","True","False","False","False","False","Owned","1-5","2.5","7.27712","","","https://boardgamegeek.com/boardgame/358386"
"B","8","54","325941","Nemo's War: The Ultimate Edition","7.464","1","True","False","False","False","False","Owned","1-4","3.2414","8.19333","","","https://boardgamegeek.com/boardgame/325941"
"B","8","55","331979","Quartermaster General WW2: 2nd Edition","7.454","1","True","False","True","False","False","Owned","2-6","2.5909","7.70412","","","https://boardgamegeek.com/boardgame/331979"
"B","8","56","255984","Sleeping Gods","7.444","1","True","False","False","False","False","Owned","1-4","3.2587","8.08026","","","https://boardgamegeek.com/boardgame/255984"
"B","8","57","123096","Space Cadets","7.434","1","True","False","True","False","False","Owned","3-6","2.7543","6.54397","","","https://boardgamegeek.com/boardgame/123096"
"B","8","58","345542","Stellar Expedition","7.424","1","True","False","True","False","False","Owned","1-4","3","7.33026","","","https://boardgamegeek.com/boardgame/345542"
"B","8","59","292375","The Great Wall","7.414","3","True","False","False","False","False","Owned","1-4","3.9069","7.78182","","","https://boardgamegeek.com/boardgame/292375"
"B","8","60","279537","The Search for Planet X","7.404","1","True","False","True","False","False","Owned","1-4","2.4258","7.88909","","","https://boardgamegeek.com/boardgame/279537"
"B","8","61","285826","Ultra Tiny Epic Galaxies","7.394","1","True","False","False","False","False","Owned","1-5","2.1875","7.30369","","","https://boardgamegeek.com/boardgame/285826"
"B","8","62","306735","Under Falling Skies","7.383","1","True","False","False","False","False","Owned","1","2.3904","7.58809","","","https://boardgamegeek.com/boardgame/306735"
"B","8","63","233867","Welcome To...","7.373","4","True","False","False","False","False","Owned","1-100","1.8428","7.50392","","","https://boardgamegeek.com/boardgame/233867"
"B","8","64","48726","Alien Frontiers","7.363","3","True","False","False","False","False","Owned","2-4","2.5644","7.33635","","","https://boardgamegeek.com/boardgame/48726"
"B","8","65","205597","Jump Drive","7.353","19","True","False","False","False","False","Owned","2-4","2.0154","6.99615","","","https://boardgamegeek.com/boardgame/205597"
"B","8","66","822","Carcassonne","7.343","10","True","False","False","False","False","Owned","2-5","1.8839","7.41674","","","https://boardgamegeek.com/boardgame/822"
"B","8","67","270673","Silver & Gold","7.333","4","True","False","False","False","False","Owned","2-4","1.2143","7.1552","","","https://boardgamegeek.com/boardgame/270673"
"B","8","68","123260","Suburbia","7.323","1","True","False","True","False","False","Owned","1-4","2.7559","7.45218","","","https://boardgamegeek.com/boardgame/123260"
"B","8","69","100423","Elder Sign","7.313","6","True","False","False","False","False","Owned","1-8","2.3425","6.96759","","","https://boardgamegeek.com/boardgame/100423"
"B","8","70","140934","Arboretum","7.303","6","True","False","False","False","False","Owned","2-4","2.1133","7.24033","","","https://boardgamegeek.com/boardgame/140934"
"B","8","71","171273","FUSE","7.293","3","True","False","False","False","False","Owned","1-5","1.6647","6.98022","","","https://boardgamegeek.com/boardgame/171273"
"B","8","72","110277","Among the Stars","7.283","1","True","False","True","False","False","Owned","2-4","2.2377","7.00499","","","https://boardgamegeek.com/boardgame/110277"
"B","8","73","139976","Cthulhu Wars","7.272","1","True","False","True","False","False","Owned","2-4","3.1452","7.83204","","","https://boardgamegeek.com/boardgame/139976"
"B","8","74","343900","Senjutsu: Battle For Japan","7.262","1","True","False","False","False","False","Owned","1-4","2.9211","7.18833","","","https://boardgamegeek.com/boardgame/343900"
"B","8","75","255674","Imhotep: The Duel","7.252","2","True","False","False","False","False","Owned","2","1.9444","7.04273","","","https://boardgamegeek.com/boardgame/255674"
"B","8","76","209685","Century: Spice Road","7.242","15","True","False","False","False","False","Owned","2-5","1.804","7.28675","","","https://boardgamegeek.com/boardgame/209685"
"B","8","77","232524","Welcome to Dino World","7.232","2","True","False","False","False","False","Owned","2-75","2.375","6.71487","","","https://boardgamegeek.com/boardgame/232524"
"B","8","78","4396","Odin's Ravens","7.222","1","True","False","False","False","False","Owned","2","1.681","6.64579","","","https://boardgamegeek.com/boardgame/4396"
