"group_key","stack_rank","group_count","source_rating_bucket","target_rating_band","bgg_id","name","current_rating","proposed_rating","num_plays","players","complexity","bgg_rating","categories","mechanics"
"2","52","82","8","7.000-7.999","268864","Undaunted: Normandy","8","7.37","2","2","2.2661","7.76528","System.Object[]","System.Object[]"
"1-5","53","82","8","7.000-7.999","146652","Legendary Encounters: An Alien Deck Building Game","8","7.358","2","1-5","2.7067","7.7529","System.Object[]","System.Object[]"
"1-4","54","82","8","7.000-7.999","306881","Railroad Ink Challenge: Lush Green Edition","8","7.345","2","1-4","2.1143","7.56306","System.Object[]","System.Object[]"
"2-6","55","82","8","7.000-7.999","145976","Talon","8","7.333","2","2-6","2.6","7.38151","System.Object[]","System.Object[]"
"2-4","56","82","8","7.000-7.999","315727","Last Light","8","7.321","2","2-4","2.7778","7.33335","System.Object[]","System.Object[]"
"1-4","57","82","8","7.000-7.999","231581","AuZtralia","8","7.308","2","1-4","2.8873","7.33056","System.Object[]","System.Object[]"
"2-4","58","82","8","7.000-7.999","317457","Dinosaur World","8","7.296","2","2-4","3.2687","7.31604","System.Object[]","System.Object[]"
"1-4","59","82","8","7.000-7.999","291508","Tiny Epic Dinosaurs","8","7.284","2","1-4","2.6522","7.27999","System.Object[]","System.Object[]"
"1-4","60","82","8","7.000-7.999","340865","Lords of Ragnarok","8","7.271","2","1-4","3.7857","7.27647","System.Object[]","System.Object[]"
"1-4","61","82","8","7.000-7.999","356768","Bloc by Bloc: Uprising","8","7.259","2","1-4","2.5789","7.23896","System.Object[]","System.Object[]"
"2","62","82","8","7.000-7.999","177639","Raptor","8","7.247","2","2","2.0761","7.21071","System.Object[]","System.Object[]"
"2-6","63","82","8","7.000-7.999","347117","Star Trek: Missions","8","7.234","2","2-6","2","6.73275","System.Object[]","System.Object[]"
"1-4","64","82","8","7.000-7.999","325941","Nemo's War: The Ultimate Edition","8","7.222","1","1-4","3.25","8.20343","System.Object[]","System.Object[]"
"1-4","65","82","8","7.000-7.999","255984","Sleeping Gods","8","7.21","1","1-4","3.2649","8.09056","System.Object[]","System.Object[]"
"2-6","66","82","8","7.000-7.999","283355","Dune","8","7.197","1","2-6","3.9807","7.91628","System.Object[]","System.Object[]"
"1-4","67","82","8","7.000-7.999","279537","The Search for Planet X","8","7.185","1","1-4","2.4355","7.89809","System.Object[]","System.Object[]"
"1-4","68","82","8","7.000-7.999","292375","The Great Wall","8","7.173","1","1-4","3.9057","7.78647","System.Object[]","System.Object[]"
"2-6","69","82","8","7.000-7.999","331979","Quartermaster General WW2: 2nd Edition","8","7.16","1","2-6","2.619","7.6863","System.Object[]","System.Object[]"
"1-4","70","82","8","7.000-7.999","318184","Imperium: Classics","8","7.148","1","1-4","3.618","7.68459","System.Object[]","System.Object[]"
"2-6","71","82","8","7.000-7.999","233868","HATE","8","7.136","1","2-6","2.4878","7.65561","System.Object[]","System.Object[]"
"1-4","72","82","8","7.000-7.999","318009","Dinosaur Island: Rawr 'n Write","8","7.123","1","1-4","2.8534","7.65449","System.Object[]","System.Object[]"
"1-8","73","82","8","7.000-7.999","295293","The Thing: The Boardgame","8","7.111","1","1-8","2.9576","7.61878","System.Object[]","System.Object[]"
"1","74","82","8","7.000-7.999","306735","Under Falling Skies","8","7.099","1","1","2.3937","7.59838","System.Object[]","System.Object[]"
"1-5","75","82","8","7.000-7.999","252752","Genotype: A Mendelian Genetics Game","8","7.086","1","1-5","2.7841","7.4131","System.Object[]","System.Object[]"
"1-4","76","82","8","7.000-7.999","345542","Stellar Expedition","8","7.074","1","1-4","3","7.33026","System.Object[]","System.Object[]"
"2-6","77","82","8","7.000-7.999","59959","Letters from Whitechapel","8","7.062","1","2-6","2.6398","7.32931","System.Object[]","System.Object[]"
"1-5","78","82","8","7.000-7.999","285826","Ultra Tiny Epic Galaxies","8","7.049","1","1-5","2.1875","7.30813","System.Object[]","System.Object[]"
"1-5","79","82","8","7.000-7.999","358386","Moon","8","7.037","1","1-5","2.5135","7.2953","System.Object[]","System.Object[]"
"2-5","80","82","8","7.000-7.999","172047","The Others","8","7.025","1","2-5","3.0565","7.28173","System.Object[]","System.Object[]"
"1-5","81","82","8","7.000-7.999","283095","Cosmic Colonies","8","7.012","1","1-5","2.0625","6.90399","System.Object[]","System.Object[]"
"3-6","82","82","8","7.000-7.999","123096","Space Cadets","8","7","1","3-6","2.7471","6.54793","System.Object[]","System.Object[]"
"1-5","1","46","9","8.000-8.999","253344","Cthulhu: Death May Die","9.9","8.999","6","1-5","2.5","8.1826","System.Object[]","System.Object[]"
"3-5","2","46","9","8.000-8.999","82222","Xia: Legends of a Drift System","9.8","8.977","5","3-5","3.2015","7.85681","System.Object[]","System.Object[]"
"2-4","3","46","9","8.000-8.999","345868","Federation","9.5","8.955","15","2-4","3.7453","7.82796","System.Object[]","System.Object[]"
"2-4","4","46","9","8.000-8.999","356414","Space Station Phoenix","9.5","8.932","6","2-4","3.0476","7.36939","System.Object[]","System.Object[]"
"1-5","5","46","9","8.000-8.999","348877","Lobotomy 2: Manhunt","9.5","8.91","2","1-5","3.0714","8.04979","System.Object[]","System.Object[]"
"2-5","6","46","9","8.000-8.999","242302","Space Base","9.1","8.888","8","2-5","2.1315","7.53966","System.Object[]","System.Object[]"
"2-5","7","46","9","8.000-8.999","218509","Empires of the Void II","9.1","8.866","3","2-5","3.472","7.44154","System.Object[]","System.Object[]"
"1-5","8","46","9","8.000-8.999","167355","Nemesis","9.1","8.844","2","1-5","3.4874","8.24992","System.Object[]","System.Object[]"
"2-5","9","46","9","8.000-8.999","232832","Century: Golem Edition","9","8.821","22","2-5","1.7168","7.57649","System.Object[]","System.Object[]"
"1-5","10","46","9","8.000-8.999","167791","Terraforming Mars","9","8.799","15","1-5","3.2714","8.33813","System.Object[]","System.Object[]"
"2-6","11","46","9","8.000-8.999","223040","Fantasy Realms","9","8.777","15","2-6","1.8142","7.50213","System.Object[]","System.Object[]"
"1-4","12","46","9","8.000-8.999","382518","Sankoré: The Pride of Mansa Musa","9","8.755","7","1-4","4.2485","7.96681","System.Object[]","System.Object[]"
"2-4","13","46","9","8.000-8.999","317985","Beyond the Sun","9","8.733","6","2-4","3.1538","7.86216","System.Object[]","System.Object[]"
"2-4","14","46","9","8.000-8.999","237179","Weather Machine","9","8.71","6","2-4","4.5608","7.68577","System.Object[]","System.Object[]"
"1-4","15","46","9","8.000-8.999","391137","Galactic Cruise","9","8.688","5","1-4","3.9685","8.31962","System.Object[]","System.Object[]"
"1-4","16","46","9","8.000-8.999","230253","Star Realms: Frontiers","9","8.666","4","1-4","1.8844","7.90803","System.Object[]","System.Object[]"
"1-2","17","46","9","8.000-8.999","289565","Hunted: Mining Colony 415","9","8.644","4","1-2","1.8182","6.87094","System.Object[]","System.Object[]"
"1-4","18","46","9","8.000-8.999","184267","On Mars","9","8.622","3","1-4","4.6264","8.1588","System.Object[]","System.Object[]"
