"group_key","bgg_id","name","year_published","rating","num_plays","players","complexity","bgg_rating","num_ratings","categories","mechanics"
"2-5","136063","Forbidden Desert","2013","5","1","2-5","2.0413","7.05943","32846","System.Object[]","System.Object[]"
"2-5","369258","Isle of Skye: Big Box","2022","7","1","2-5","2.125","7.93897","567","System.Object[]","System.Object[]"
"2-5","297562","Kemet: Blood and Sand","2021","7","1","2-5","3.1965","7.90331","6175","System.Object[]","System.Object[]"
"2-5","156009","Port Royal","2014","6.7","1","2-5","1.6332","7.10379","19158","System.Object[]","System.Object[]"
"2-5","172047","The Others","2016","8","1","2-5","3.0565","7.28173","4259","System.Object[]","System.Object[]"
"2-5","14996","Ticket to Ride: Europe","2005","6.5","1","2-5","1.9155","7.5238","85333","Trains","System.Object[]"
"2-6","223040","Fantasy Realms","2017","9","15","2-6","1.8142","7.50213","18352","System.Object[]","System.Object[]"
"2-6","11971","Cockroach Poker","2004","6","6","2-6","1.0969","6.80185","16363","System.Object[]","System.Object[]"
"2-6","133848","Euphoria: Build a Better Dystopia","2013","8","6","2-6","3.112","7.16344","11411","Science Fiction","System.Object[]"
"2-6","122842","Exodus: Proxima Centauri","2012","10","6","2-6","3.6091","7.13523","1750","System.Object[]","System.Object[]"
"2-6","353470","Star Wars: Jabba's Palace – A Love Letter Game","2022","7","6","2-6","1.25","7.19372","3560","System.Object[]","System.Object[]"
"2-6","131357","Coup","2012","7","5","2-6","1.4152","6.97519","52156","System.Object[]","System.Object[]"
"2-6","274960","Point Salad","2019","7","5","2-6","1.1529","7.08964","23215","Card Game","System.Object[]"
"2-6","4279","Flux","1986","5","3","2-6","1.3846","5.45436","298","System.Object[]","Hexagon Grid"
"2-6","313841","Lunar Base","2021","7","3","2-6","2.0476","7.10936","446","System.Object[]","System.Object[]"
"2-6","250467","Red Alert: Space Fleet Warfare","2019","8.2","3","2-6","2.3529","7.77423","343","System.Object[]","System.Object[]"
"2-6","159473","Quartermaster General","2014","7","2","2-6","2.2866","7.2591","2870","System.Object[]","System.Object[]"
"2-6","347117","Star Trek: Missions","2022","8","2","2-6","2","6.73275","694","System.Object[]","System.Object[]"
"2-6","145976","Talon","2016","8","2","2-6","2.6","7.38151","886","System.Object[]","System.Object[]"
"2-6","220700","Cobra Paw","2017","6.9","1","2-6","1","6.27284","1349","System.Object[]","System.Object[]"
"2-6","62219","Dominant Species","2010","9","1","2-6","4.0447","7.802","22379","System.Object[]","System.Object[]"
"2-6","283355","Dune","2019","8","1","2-6","3.9807","7.91628","10756","System.Object[]","System.Object[]"
"2-6","246900","Eclipse: Second Dawn for the Galaxy","2020","10","1","2-6","3.6651","8.38856","17345","System.Object[]","System.Object[]"
"2-6","233868","HATE","2019","8","1","2-6","2.4878","7.65561","1139","System.Object[]","System.Object[]"
"2-6","59959","Letters from Whitechapel","2011","8","1","2-6","2.6398","7.32931","17037","System.Object[]","System.Object[]"
"2-6","331979","Quartermaster General WW2: 2nd Edition","2020","8","1","2-6","2.619","7.6863","688","System.Object[]","System.Object[]"
"2-7","181304","Mysterium","2015","7","6","2-7","1.8899","7.19043","49104","System.Object[]","System.Object[]"
"2-7","194879","Not Alone","2016","7","1","2-7","2","6.95492","11967","System.Object[]","System.Object[]"
"2-75","232524","Welcome to Dino World","2017","7.2","2","2-75","2.375","6.71487","1269","System.Object[]","System.Object[]"
"2-8","178900","Codenames","2015","6","5","2-8","1.2553","7.525","103823","System.Object[]","System.Object[]"
