"group_key","stack_rank","group_count","source_rating_bucket","target_rating_band","bgg_id","name","current_rating","proposed_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"1-4","46","100","7","6.000-6.999","230244","Black Angel","7.545","6.545","1","1-4","3.8677","7.17938","","","System.Object[]","System.Object[]"
"1-4","47","100","7","6.000-6.999","318009","Dinosaur Island: Rawr 'n Write","7.535","6.535","1","1-4","2.8512","7.64734","","","System.Object[]","System.Object[]"
"2-6","48","100","7","6.000-6.999","283355","Dune","7.525","6.525","1","2-6","3.9771","7.91108","","","System.Object[]","System.Object[]"
"1-5","49","100","7","6.000-6.999","252752","Genotype: A Mendelian Genetics Game","7.515","6.515","1","1-5","2.7778","7.40128","","","System.Object[]","System.Object[]"
"1-4","50","100","7","6.000-6.999","318184","Imperium: Classics","7.505","6.505","1","1-4","3.631","7.68007","","","System.Object[]","System.Object[]"
"1-4","51","100","7","6.000-6.999","368173","Let's Go! To Japan","7.494","6.494","1","1-4","2.2596","7.56133","","","System.Object[]","System.Object[]"
"2-6","52","100","7","6.000-6.999","59959","Letters from Whitechapel","7.484","6.484","1","2-6","2.6398","7.32951","","","System.Object[]","System.Object[]"
"1-5","53","100","7","6.000-6.999","358386","Moon","7.474","6.474","1","1-5","2.5","7.27895","","","System.Object[]","System.Object[]"
"1-4","54","100","7","6.000-6.999","325941","Nemo's War: The Ultimate Edition","7.464","6.464","1","1-4","3.2414","8.19252","","","System.Object[]","System.Object[]"
"2-6","55","100","7","6.000-6.999","331979","Quartermaster General WW2: 2nd Edition","7.454","6.454","1","2-6","2.5909","7.67947","","","System.Object[]","System.Object[]"
"1-4","56","100","7","6.000-6.999","255984","Sleeping Gods","7.444","6.444","1","1-4","3.2587","8.07967","","","System.Object[]","System.Object[]"
"3-6","57","100","7","6.000-6.999","123096","Space Cadets","7.434","6.434","1","3-6","2.7543","6.54425","","","System.Object[]","System.Object[]"
"1-4","58","100","7","6.000-6.999","345542","Stellar Expedition","7.424","6.424","1","1-4","3","7.33026","","","System.Object[]","System.Object[]"
"1-4","59","100","7","6.000-6.999","292375","The Great Wall","7.414","6.414","3","1-4","3.9073","7.78074","","","System.Object[]","System.Object[]"
"1-4","60","100","7","6.000-6.999","279537","The Search for Planet X","7.404","6.404","1","1-4","2.4258","7.88895","","","System.Object[]","System.Object[]"
"1-5","61","100","7","6.000-6.999","285826","Ultra Tiny Epic Galaxies","7.394","6.394","1","1-5","2.1875","7.30121","","","System.Object[]","System.Object[]"
"1","62","100","7","6.000-6.999","306735","Under Falling Skies","7.383","6.383","1","1","2.3966","7.58788","","","System.Object[]","System.Object[]"
"1-100","63","100","7","6.000-6.999","233867","Welcome To...","7.373","6.373","4","1-100","1.8428","7.50316","","","City Building","System.Object[]"
"2-4","64","100","7","6.000-6.999","48726","Alien Frontiers","7.363","6.363","3","2-4","2.5644","7.33607","","","System.Object[]","System.Object[]"
"2-4","65","100","7","6.000-6.999","205597","Jump Drive","7.353","6.353","19","2-4","2.0154","6.9959","","","System.Object[]","System.Object[]"
"2-5","66","100","7","6.000-6.999","822","Carcassonne","7.343","6.343","10","2-5","1.8838","7.41658","","","System.Object[]","System.Object[]"
"2-4","67","100","7","6.000-6.999","270673","Silver & Gold","7.333","6.333","4","2-4","1.2143","7.15531","","","System.Object[]","System.Object[]"
"1-4","68","100","7","6.000-6.999","123260","Suburbia","7.323","6.323","1","1-4","2.7559","7.45194","","","System.Object[]","System.Object[]"
"1-8","69","100","7","6.000-6.999","100423","Elder Sign","7.313","6.313","6","1-8","2.342","6.96748","","","System.Object[]","System.Object[]"
"2-4","70","100","7","6.000-6.999","140934","Arboretum","7.303","6.303","6","2-4","2.1133","7.24019","","","System.Object[]","System.Object[]"
"1-5","71","100","7","6.000-6.999","171273","FUSE","7.293","6.293","3","1-5","1.6647","6.9804","","","System.Object[]","System.Object[]"
"2-4","72","100","7","6.000-6.999","110277","Among the Stars","7.283","6.283","1","2-4","2.2377","7.00465","","","System.Object[]","System.Object[]"
"2-4","73","100","7","6.000-6.999","139976","Cthulhu Wars","7.272","6.272","1","2-4","3.1447","7.83052","","","System.Object[]","System.Object[]"
"1-4","74","100","7","6.000-6.999","343900","Senjutsu: Battle For Japan","7.262","6.262","1","1-4","2.9211","7.18624","","","System.Object[]","System.Object[]"
"2","75","100","7","6.000-6.999","255674","Imhotep: The Duel","7.252","6.252","2","2","1.9444","7.04168","","","Ancient","System.Object[]"
"2-5","76","100","7","6.000-6.999","209685","Century: Spice Road","7.242","6.242","15","2-5","1.804","7.28671","","","System.Object[]","System.Object[]"
"2-75","77","100","7","6.000-6.999","232524","Welcome to Dino World","7.232","6.232","2","2-75","2.375","6.71498","","","System.Object[]","System.Object[]"
"2","78","100","7","6.000-6.999","4396","Odin's Ravens","7.222","6.222","1","2","1.681","6.64575","","","System.Object[]","System.Object[]"
"2-4","79","100","7","6.000-6.999","256669","Scorpius Freighter","7.212","6.212","2","2-4","2.375","6.88415","","","System.Object[]","System.Object[]"
"2-8","80","100","7","6.000-6.999","192291","Sushi Go Party!","7.202","6.202","2","2-8","1.3276","7.36895","","","System.Object[]","System.Object[]"
"2-6","81","100","7","6.000-6.999","28086","Age of War","7.192","6.192","1","2-6","1.1493","6.43573","","","System.Object[]","System.Object[]"
"2-4","82","100","7","6.000-6.999","287954","Azul: Summer Pavilion","7.182","6.182","1","2-4","2.0771","7.55756","","","System.Object[]","System.Object[]"
"2-5","83","100","7","6.000-6.999","110327","Lords of Waterdeep","7.172","6.172","1","2-5","2.448","7.72874","","","System.Object[]","System.Object[]"
"1-4","84","100","7","6.000-6.999","312484","Lost Ruins of Arnak","7.161","6.161","1","1-4","2.9341","8.08431","","","System.Object[]","System.Object[]"
"2-5","85","100","7","6.000-6.999","281152","On the Underground: London / Berlin","7.151","6.151","1","2-5","2.3158","7.20272","","","System.Object[]","System.Object[]"
"1-5","86","100","7","6.000-6.999","180040","Villages of Valeria","7.141","6.141","1","1-5","2.3068","6.96436","","","System.Object[]","System.Object[]"
"1-4","87","100","7","6.000-6.999","163602","XCOM: The Board Game","7.131","6.131","1","1-4","2.9066","6.97549","","","System.Object[]","System.Object[]"
"1-4","88","100","7","6.000-6.999","189660","XenoShyft: Dreadmire","7.121","6.121","2","1-4","2.6857","7.12605","","","System.Object[]","System.Object[]"
"2-6","89","100","7","6.000-6.999","256382","Disney Villainous: The Worst Takes it All","7.111","6.111","5","2-6","2.4802","6.90364","","","System.Object[]","System.Object[]"
"2-7","90","100","7","6.000-6.999","68448","7 Wonders","7.101","6.101","9","2-7","2.315","7.65993","","","System.Object[]","System.Object[]"
"4-6","91","100","7","6.000-6.999","205716","New Angeles","7.091","6.091","1","4-6","3.2212","7.04117","","","System.Object[]","System.Object[]"
"2-5","92","100","7","6.000-6.999","120677","Terra Mystica","7.081","6.081","8","2-5","3.9726","8.03116","","","System.Object[]","System.Object[]"
"1-4","93","100","7","6.000-6.999","267370","Cities: Skylines – The Board Game","7.071","6.071","2","1-4","2.3968","6.49471","","","System.Object[]","System.Object[]"
"2","94","100","7","6.000-6.999","290359","Undaunted: North Africa","7.061","6.061","2","2","2.3519","7.73935","","","System.Object[]","System.Object[]"
"1-4","95","100","7","6.000-6.999","185343","Anachrony","7.05","6.05","1","1-4","3.995","8.03539","","","System.Object[]","System.Object[]"
"2-6","96","100","7","6.000-6.999","254632","Hyperspace","7.04","6.04","2","2-6","3.25","5.73988","Backed in 2018! ⚠️ Who the F knows!","","System.Object[]","System.Object[]"
"2-4","97","100","7","6.000-6.999","146910","Wildcatters","7.03","6.03","1","2-4","3.9787","7.59427","","","System.Object[]","System.Object[]"
"2-6","98","100","7","6.000-6.999","6249","Alhambra","7.02","6.02","3","2-6","2.0965","7.0351","","","System.Object[]","System.Object[]"
"1-6","99","100","7","6.000-6.999","366013","Heat: Pedal to the Metal","7.01","6.01","2","1-6","2.2012","7.99156","","","System.Object[]","System.Object[]"
"2-4","100","100","7","6.000-6.999","144733","Russian Railroads","7","6","2","2-4","3.3957","7.71845","","","System.Object[]","System.Object[]"
"1-4","1","69","8","7.000-7.999","325494","ISS Vanguard","8.999","7.999","1","1-4","3.6677","8.3264","","","System.Object[]","System.Object[]"
"1-4","2","69","8","7.000-7.999","284378","Kanban EV","8.984","7.984","2","1-4","4.2955","8.3714","","","System.Object[]","System.Object[]"
"1-5","3","69","8","7.000-7.999","310100","Nemesis: Lockdown","8.969","7.97","2","1-5","3.9246","8.23501","Fantastic game","","System.Object[]","System.Object[]"
"1-4","4","69","8","7.000-7.999","184267","On Mars","8.954","7.955","5","1-4","4.6237","8.15821","","","System.Object[]","System.Object[]"
"4-9","5","69","8","7.000-7.999","202426","Sidereal Confluence","8.939","7.94","3","4-9","3.5636","7.75577","","","System.Object[]","System.Object[]"
"2-6","6","69","8","7.000-7.999","250467","Red Alert: Space Fleet Warfare","8.924","7.926","3","2-6","2.3529","7.7544","","","System.Object[]","System.Object[]"
"2-4","7","69","8","7.000-7.999","237179","Weather Machine","8.91","7.911","6","2-4","4.5645","7.67543","","","System.Object[]","System.Object[]"
"2-4","8","69","8","7.000-7.999","299450","Tsukuyumi: Full Moon Down (Second Edition)","8.895","7.896","2","2-4","3.6552","7.50992","","","System.Object[]","System.Object[]"
"2-4","9","69","8","7.000-7.999","155065","Lifeform","8.88","7.881","3","2-4","3.0667","7.16987","","","System.Object[]","System.Object[]"
"2-5","10","69","8","7.000-7.999","172047","The Others","8.865","7.867","1","2-5","3.0565","7.28402","","","System.Object[]","System.Object[]"
"1-4","11","69","8","7.000-7.999","292126","Excavation Earth","8.85","7.852","2","1-4","3.8077","7.0983","","","System.Object[]","System.Object[]"
"1-4","12","69","8","7.000-7.999","349948","Ceres","8.835","7.837","2","1-4","3.2157","7.60788","","","System.Object[]","System.Object[]"
"1-4","13","69","8","7.000-7.999","216132","Clans of Caledonia","8.82","7.823","21","1-4","3.4662","7.94126","","","System.Object[]","System.Object[]"
"2-4","14","69","8","7.000-7.999","321608","Hegemony: Lead Your Class to Victory","8.805","7.808","3","2-4","4.2578","8.35433","","","System.Object[]","System.Object[]"
"2-4","15","69","8","7.000-7.999","260923","Titan","8.79","7.793","1","2-4","3.5","6.94912","","","System.Object[]","System.Object[]"
"2-4","16","69","8","7.000-7.999","115746","War of the Ring: Second Edition","8.775","7.779","1","2-4","4.2325","8.5525","","","System.Object[]","System.Object[]"
"2-4","17","69","8","7.000-7.999","356414","Space Station Phoenix","8.76","7.764","6","2-4","3.0462","7.36027","","","System.Object[]","System.Object[]"
"2-4","18","69","8","7.000-7.999","228341","Pulsar 2849","8.746","7.749","3","2-4","3.3385","7.62956","","","System.Object[]","System.Object[]"
"1-5","19","69","8","7.000-7.999","373600","Cthulhu: Death May Die – Fear of the Unknown","8.731","7.735","1","1-5","2.7083","8.69321","EU Hub: The containers should arrive at the Hub between August 3 and August 10.","","System.Object[]","System.Object[]"
"1-6","20","69","8","7.000-7.999","257089","Big Trouble in Little China: The Game – Deluxe Edition","8.716","7.72","4","1-6","3","7.76523","","","System.Object[]","System.Object[]"
"1-4","21","69","8","7.000-7.999","266810","Paladins of the West Kingdom","8.701","7.705","2","1-4","3.7037","7.95182","","","Medieval","System.Object[]"
"1-4","22","69","8","7.000-7.999","306481","Tawantinsuyu: The Inca Empire","8.686","7.69","3","1-4","4.0954","7.36663","","","System.Object[]","System.Object[]"
"1-4","23","69","8","7.000-7.999","220308","Gaia Project","8.671","7.676","12","1-4","4.4036","8.34672","","","System.Object[]","System.Object[]"
"2-5","24","69","8","7.000-7.999","218509","Empires of the Void II","8.656","7.661","3","2-5","3.5","7.43403","","","System.Object[]","System.Object[]"
"2-6","25","69","8","7.000-7.999","233868","HATE","8.641","7.646","1","2-6","2.4878","7.65249","","","System.Object[]","System.Object[]"
"2-4","26","69","8","7.000-7.999","126163","Tzolk'in: The Mayan Calendar","8.626","7.632","4","2-4","3.6627","7.84199","","","System.Object[]","System.Object[]"
"1-6","27","69","8","7.000-7.999","257499","Arkham Horror (Third Edition)","8.611","7.617","3","1-6","3.375","7.67819","","","System.Object[]","System.Object[]"
"2-4","28","69","8","7.000-7.999","317985","Beyond the Sun","8.596","7.602","6","2-4","3.1549","7.85949","","","System.Object[]","System.Object[]"
"2-4","29","69","8","7.000-7.999","265188","Glen More II: Chronicles","8.582","7.588","4","2-4","3.0029","7.85153","","","System.Object[]","System.Object[]"
"2-4","30","69","8","7.000-7.999","172287","Champions of Midgard","8.567","7.573","7","2-4","2.6195","7.70146","","","System.Object[]","System.Object[]"
"2-4","31","69","8","7.000-7.999","220792","The Expanse Board Game","8.552","7.558","6","2-4","2.8036","7.16533","","","System.Object[]","System.Object[]"
"1-5","32","69","8","7.000-7.999","167791","Terraforming Mars","8.537","7.544","15","1-5","3.2722","8.33063","","","System.Object[]","System.Object[]"
"1-4","33","69","8","7.000-7.999","350458","Terracotta Army","8.522","7.529","1","1-4","3.3981","7.37586","","","System.Object[]","System.Object[]"
"1-5","34","69","8","7.000-7.999","270239","Moonrakers","8.507","7.514","1","1-5","2.4737","7.67664","","","System.Object[]","System.Object[]"
"2-4","35","69","8","7.000-7.999","262941","Dominant Species: Marine","8.492","7.5","2","2-4","3.6981","7.84739","","","System.Object[]","System.Object[]"
"3-5","36","69","8","7.000-7.999","39463","Cosmic Encounter","8.477","7.485","8","3-5","2.5831","7.505","","","System.Object[]","System.Object[]"
"2-4","37","69","8","7.000-7.999","155821","Inis","8.462","7.47","5","2-4","2.9471","7.81644","","","System.Object[]","System.Object[]"
"1-2","38","69","8","7.000-7.999","205637","Arkham Horror: The Card Game","8.447","7.455","1","1-2","3.568","8.11669","","","System.Object[]","System.Object[]"
"1-8","39","69","8","7.000-7.999","295293","The Thing: The Boardgame","8.432","7.441","1","1-8","2.958","7.62128","","","System.Object[]","System.Object[]"
"1-4","40","69","8","7.000-7.999","408253","Tiny Epic Cthulhu: Deluxe Edition","8.417","7.426","1","1-4","3","7.27377","November 2024","","System.Object[]","System.Object[]"
"2-4","41","69","8","7.000-7.999","417197","Rebirth","8.403","7.411","3","2-4","1.9728","7.76873","September 2024","","System.Object[]","System.Object[]"
"1-5","42","69","8","7.000-7.999","236457","Architects of the West Kingdom","8.388","7.397","13","1-5","2.7616","7.70243","","","System.Object[]","System.Object[]"
"1-4","43","69","8","7.000-7.999","198609","Fate of the Elder Gods","8.373","7.382","1","1-4","2.8276","7.21527","","","System.Object[]","System.Object[]"
"1-4","44","69","8","7.000-7.999","138161","Firefly: The Game","8.358","7.367","3","1-4","2.9542","7.38114","","","System.Object[]","System.Object[]"
"2-6","45","69","8","7.000-7.999","62219","Dominant Species","8.343","7.353","1","2-6","4.0443","7.80029","","","System.Object[]","System.Object[]"
"1-8","46","69","8","7.000-7.999","146021","Eldritch Horror","8.328","7.338","1","1-8","3.3165","7.74295","","","System.Object[]","System.Object[]"
"1-4","47","69","8","7.000-7.999","328871","Terraforming Mars: Ares Expedition","8.313","7.323","3","1-4","2.9275","7.63006","","","System.Object[]","System.Object[]"
"2-4","48","69","8","7.000-7.999","319966","The King Is Dead: Second Edition","8.298","7.309","2","2-4","2.1641","7.58449","","","System.Object[]","System.Object[]"
"2-4","49","69","8","7.000-7.999","172996","The King Is Dead","8.298","7.294","1","2-4","2.4493","7.1007","","","System.Object[]","System.Object[]"
"2","50","69","8","7.000-7.999","312251","Curious Cargo","8.283","7.279","2","2","3.2035","6.97706","","","System.Object[]","System.Object[]"
"1-2","51","69","8","7.000-7.999","329148","Hunted: Wode Ridge","8.268","7.264","1","1-2","1.8","6.97517","","","System.Object[]","System.Object[]"
"1-2","52","69","8","7.000-7.999","289565","Hunted: Mining Colony 415","8.253","7.25","4","1-2","1.8182","6.8819","","","System.Object[]","System.Object[]"
"1-5","53","69","8","7.000-7.999","169786","Scythe","8.239","7.235","7","1-5","3.452","8.09463","","","System.Object[]","System.Object[]"
"2-5","54","69","8","7.000-7.999","242302","Space Base","8.224","7.22","8","2-5","2.1363","7.54044","","","System.Object[]","System.Object[]"
"2","55","69","8","7.000-7.999","326485","Cthulhu Wars: Duel","8.209","7.206","3","2","2.8889","6.94671","","","System.Object[]","System.Object[]"
"3-5","56","69","8","7.000-7.999","3076","Puerto Rico","8.194","7.191","12","3-5","3.2658","7.8965","","","System.Object[]","System.Object[]"
"1-6","57","69","8","7.000-7.999","281258","Sub Terra II: Inferno's Edge","8.179","7.176","2","1-6","2.1562","7.47898","Probably never delivered!","","System.Object[]","System.Object[]"
"1","58","69","8","7.000-7.999","296237","Warp's Edge","8.164","7.162","3","1","2.3875","7.62992","","","Science Fiction","System.Object[]"
"2","59","69","8","7.000-7.999","298572","Cosmic Encounter Duel","8.149","7.147","2","2","2.4545","6.53635","","","System.Object[]","System.Object[]"
"1-2","60","69","8","7.000-7.999","247236","Duelosaur Island","8.134","7.132","3","1-2","2.3803","7.01067","","","System.Object[]","System.Object[]"
"2-5","61","69","8","7.000-7.999","232832","Century: Golem Edition","8.119","7.118","22","2-5","1.7143","7.57534","","","System.Object[]","System.Object[]"
"2-4","62","69","8","7.000-7.999","28143","Race for the Galaxy","8.104","7.103","16","2-4","2.9938","7.73586","","","System.Object[]","System.Object[]"
"2-5","63","69","8","7.000-7.999","224783","Vindication","8.089","7.088","2","2-5","3.1074","7.75499","","","System.Object[]","System.Object[]"
"2-4","64","69","8","7.000-7.999","9609","War of the Ring","8.075","7.073","2","2-4","3.8496","7.77966","","","System.Object[]","System.Object[]"
"3-4","65","69","8","7.000-7.999","43111","Chaos in the Old World","8.06","7.059","1","3-4","3.1941","7.65878","","","System.Object[]","System.Object[]"
"2-4","66","69","8","7.000-7.999","256730","Pipeline","8.045","7.044","3","2-4","3.9055","7.53437","","","System.Object[]","System.Object[]"
"1-4","67","69","8","7.000-7.999","247763","Underwater Cities","8.03","7.029","2","1-4","3.5897","8.03941","","","System.Object[]","System.Object[]"
"2-4","68","69","8","7.000-7.999","184921","Bunny Kingdom","8.015","7.015","1","2-4","2.2997","7.40447","","","System.Object[]","System.Object[]"
"1-4","69","69","8","7.000-7.999","160610","Thunderbirds","8","7","1","1-4","2.4706","7.51584","","","System.Object[]","System.Object[]"
"1-4","1","30","9","8.000-8.999","229853","Teotihuacan: City of Gods","9.999","8.999","38","1-4","3.7814","7.82995","","","System.Object[]","System.Object[]"
"1-4","2","30","9","8.000-8.999","381715","Teotihuacan: City of Gods – Deluxe Master Set","9.999","8.965","2","1-4","3.9118","8.4158","September 2024 (soon)","","Ancient","System.Object[]"
"1-4","3","30","9","8.000-8.999","382518","Sankoré: The Pride of Mansa Musa","9.962","8.93","7","1-4","4.2554","7.94055","","","System.Object[]","System.Object[]"
"1-4","4","30","9","8.000-8.999","337627","Voidfall","9.925","8.896","13","1-4","4.6224","8.49898","","","System.Object[]","System.Object[]"
"1-4","5","30","9","8.000-8.999","367150","Dune: War for Arrakis","9.888","8.861","2","1-4","3.6453","8.47687","","","System.Object[]","System.Object[]"
"1-4","6","30","9","8.000-8.999","391137","Galactic Cruise","9.851","8.827","5","1-4","3.9809","8.28343","Production","","System.Object[]","System.Object[]"
"1-4","7","30","9","8.000-8.999","375459","Speakeasy","9.814","8.792","1","1-4","4.4343","8.42259","","","System.Object[]","System.Object[]"
"2-6","8","30","9","8.000-8.999","122842","Exodus: Proxima Centauri","9.777","8.758","6","2-6","3.6091","7.13353","","","System.Object[]","System.Object[]"
"1-4","9","30","9","8.000-8.999","297030","Tekhenu: Obelisk of the Sun","9.74","8.723","5","1-4","4.0701","7.66048","","","System.Object[]","System.Object[]"
"3-5","10","30","9","8.000-8.999","82222","Xia: Legends of a Drift System","9.703","8.689","5","3-5","3.2029","7.85347","","","System.Object[]","System.Object[]"
"1-4","11","30","9","8.000-8.999","304510","Pampero","9.666","8.655","1","1-4","3.9412","7.44286","? ship 29th July 2024","","System.Object[]","System.Object[]"
"1-4","12","30","9","8.000-8.999","347305","Inventions: Evolution of Ideas","9.629","8.62","5","1-4","4.5978","7.91477","","","System.Object[]","System.Object[]"
"1-5","13","30","9","8.000-8.999","348877","Lobotomy 2: Manhunt","9.592","8.586","2","1-5","3.1333","8.00899","","","System.Object[]","System.Object[]"
"2-4","14","30","9","8.000-8.999","358661","Andromeda's Edge","9.555","8.551","3","2-4","3.7461","8.23526","September 2024","","System.Object[]","System.Object[]"
"2-6","15","30","9","8.000-8.999","72125","Eclipse: New Dawn for the Galaxy","9.518","8.517","2","2-6","3.7057","7.81544","","","System.Object[]","System.Object[]"
"2-6","16","30","9","8.000-8.999","246900","Eclipse: Second Dawn for the Galaxy","9.518","8.482","1","2-6","3.6693","8.37964","","","System.Object[]","System.Object[]"
"1-4","17","30","9","8.000-8.999","418059","SETI: Search for Extraterrestrial Intelligence","9.481","8.448","6","1-4","3.8367","8.41197","","","System.Object[]","System.Object[]"
"2-4","18","30","9","8.000-8.999","345868","Federation","9.444","8.413","16","2-4","3.759","7.8176","","","System.Object[]","System.Object[]"
"1-5","19","30","9","8.000-8.999","167355","Nemesis","9.407","8.379","2","1-5","3.4916","8.24174","","","System.Object[]","System.Object[]"
"1-4","20","30","9","8.000-8.999","425630","Baghdad: The City of Peace","9.37","8.344","2","1-4","3.2941","7.69107","","","System.Object[]","System.Object[]"
"1-5","21","30","9","8.000-8.999","253344","Cthulhu: Death May Die","9.333","8.31","6","1-5","2.4921","8.17773","","","System.Object[]","System.Object[]"
"2-5","22","30","9","8.000-8.999","380707","Vindication: Archive of the Ancients","9.296","8.276","2","2-5","3","8.58119","","","Fantasy","System.Object[]"
"2-4","23","30","9","8.000-8.999","290484","Unsettled","9.259","8.241","2","2-4","3.2879","8.04505","","","System.Object[]","System.Object[]"
"1","24","30","9","8.000-8.999","277659","Final Girl","9.222","8.207","1","1","2.7603","8.20648","","","System.Object[]","System.Object[]"
"3-6","25","30","9","8.000-8.999","37111","Battlestar Galactica: The Board Game","9.185","8.172","1","3-6","3.2513","7.73112","","","System.Object[]","System.Object[]"
"2-4","26","30","9","8.000-8.999","403150","World Order","9.148","8.138","2","2-4","3.7917","8.13182","","","System.Object[]","System.Object[]"
"1-6","27","30","9","8.000-8.999","270408","Exodus Chronicles","9.111","8.103","0","1-6",,"6.01925","","","System.Object[]","System.Object[]"
"2-5","28","30","9","8.000-8.999","132531","Roll for the Galaxy","9.074","8.069","7","2-5","2.7845","7.56076","","","System.Object[]","System.Object[]"
"1-4","29","30","9","8.000-8.999","329500","Unconscious Mind","9.037","8.034","1","1-4","4.0231","7.87349","","","System.Object[]","System.Object[]"
"1-4","30","30","9","8.000-8.999","447746","Tianxia","9","8","1","1-4","3.4783","7.50692","","","System.Object[]","System.Object[]"
