"group_key","stack_rank","group_count","source_rating_bucket","target_rating_band","bgg_id","name","current_rating","proposed_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"2-5","50","106","6","5.000-5.999","369258","Isle of Skye: Big Box","6.533","5.533","1","2-5","2.1111","7.92696","","","System.Object[]","System.Object[]"
"2-4","51","106","6","5.000-5.999","272738","Jaws","6.523","5.523","1","2-4","2.1778","7.05423","","","System.Object[]","System.Object[]"
"2-5","52","106","6","5.000-5.999","297562","Kemet: Blood and Sand","6.514","5.514","1","2-5","3.2","7.89478","","","System.Object[]","System.Object[]"
"2-4","53","106","6","5.000-5.999","379629","Knarr","6.504","5.504","1","2-4","1.9091","7.47048","","","Card Game","System.Object[]"
"2-4","54","106","6","5.000-5.999","264141","Kodachi","6.495","5.495","1","2-4","1.8333","7.28359","","","Card Game","System.Object[]"
"1-2","55","106","6","5.000-5.999","267401","Lawyer Up","6.485","5.485","1","1-2","2.6486","6.81713","","","Card Game","System.Object[]"
"1-5","56","106","6","5.000-5.999","192638","Multiuniversum","6.476","5.476","1","1-5","1.8864","6.50309","","","System.Object[]","System.Object[]"
"2-7","57","106","6","5.000-5.999","194879","Not Alone","6.466","5.466","1","2-7","2.0038","6.95292","","","System.Object[]","System.Object[]"
"1-2","58","106","6","5.000-5.999","256713","One Deck Galaxy","6.457","5.457","1","1-2","3.3171","6.79106","","","System.Object[]","System.Object[]"
"2-4","59","106","6","5.000-5.999","192153","Reign of Cthulhu","6.447","5.447","1","2-4","2.1752","7.35458","","","System.Object[]","System.Object[]"
"1-5","60","106","6","5.000-5.999","38453","Space Alert","6.438","5.438","1","1-5","2.9699","7.3752","","","System.Object[]","System.Object[]"
"1-4","61","106","6","5.000-5.999","296108","Terraforming Mars: The Dice Game","6.428","5.428","1","1-4","2.4094","7.28949","","","System.Object[]","System.Object[]"
"2-4","62","106","6","5.000-5.999","253284","Ticket to Ride: New York","6.419","5.419","1","2-4","1.2701","6.87841","","","Trains","System.Object[]"
"1-5","63","106","6","5.000-5.999","241724","Villagers","6.409","5.409","1","1-5","2.2246","7.09517","","","System.Object[]","System.Object[]"
"2-4","64","106","6","5.000-5.999","362944","War of the Ring: The Card Game","6.4","5.4","1","2-4","2.9755","7.59437","","","System.Object[]","System.Object[]"
"1-4","65","106","6","5.000-5.999","223779","Pocket Mars","6.39","5.39","6","1-4","2.3467","6.41918","","","System.Object[]","System.Object[]"
"2-6","66","106","6","5.000-5.999","220700","Cobra Paw","6.381","5.381","1","2-6","1","6.27141","","","System.Object[]","System.Object[]"
"2-5","67","106","6","5.000-5.999","156009","Port Royal","6.371","5.371","1","2-5","1.6333","7.10084","","","System.Object[]","System.Object[]"
"2-5","68","106","6","5.000-5.999","14996","Ticket to Ride: Europe","6.362","5.362","1","2-5","1.9148","7.52259","","","Trains","System.Object[]"
"1-2","69","106","6","5.000-5.999","179275","One Deck Dungeon","6.352","5.352","1","1-2","2.092","6.93516","","","System.Object[]","System.Object[]"
"2-4","70","106","6","5.000-5.999","147299","Pocket Imperium","6.343","5.343","1","2-4","1.9459","6.18515","","","System.Object[]","System.Object[]"
"3-6","71","106","6","5.000-5.999","172","For Sale","6.333","5.333","11","3-6","1.2496","7.26783","","","System.Object[]","System.Object[]"
"2-4","72","106","6","5.000-5.999","107529","Kingdom Builder","6.323","5.323","7","2-4","2.0708","6.93206","","","System.Object[]","System.Object[]"
"1-6","73","106","6","5.000-5.999","245654","Railroad Ink: Deep Blue Edition","6.314","5.314","6","1-6","1.4691","7.13822","","","System.Object[]","System.Object[]"
"1-5","74","106","6","5.000-5.999","271324","It's a Wonderful World","6.304","5.304","4","1-5","2.3218","7.62116","","","System.Object[]","System.Object[]"
"3-6","75","106","6","5.000-5.999","166857","Antike II","6.295","5.295","3","3-6","2.8842","7.43366","","","System.Object[]","System.Object[]"
"2-6","76","106","6","5.000-5.999","251830","Alhambra: Mega Box","6.285","5.285","2","2-6","2.5","7.99613","","","System.Object[]","System.Object[]"
"1-4","77","106","6","5.000-5.999","69789","Ascension: Deckbuilding Game","6.276","5.276","2","1-4","2.1355","7.04474","","","System.Object[]","System.Object[]"
"2-5","78","106","6","5.000-5.999","98778","Hanabi","6.266","5.266","2","2-5","1.6918","7.0265","","","System.Object[]","System.Object[]"
"1-4","79","106","6","5.000-5.999","210274","Petrichor","6.257","5.257","2","1-4","3.0388","6.87198","","","System.Object[]","System.Object[]"
"2-6","80","106","6","5.000-5.999","183006","Qwinto","6.247","5.247","2","2-6","1.313","6.90322","","","System.Object[]","System.Object[]"
"1-5","81","106","6","5.000-5.999","254713","The Artemis Project","6.238","5.238","2","1-5","2.8526","7.19848","","","System.Object[]","System.Object[]"
"2-4","82","106","6","5.000-5.999","189932","Tyrants of the Underdark","6.228","5.228","2","2-4","2.5565","7.90994","","","System.Object[]","System.Object[]"
"2-4","83","106","6","5.000-5.999","213893","Yamataï","6.219","5.219","2","2-4","2.9634","7.16491","","","Mythology","System.Object[]"
"1-4","84","106","6","5.000-5.999","283393","Aquatica","6.209","5.209","1","1-4","2.316","7.35029","","","System.Object[]","System.Object[]"
"2-4","85","106","6","5.000-5.999","143515","Coal Baron","6.2","5.2","1","2-4","2.537","7.26322","","","System.Object[]","System.Object[]"
"2-6","86","106","6","5.000-5.999","169654","Deep Sea Adventure","6.19","5.19","1","2-6","1.1857","6.85911","","","System.Object[]","System.Object[]"
"3-5","87","106","6","5.000-5.999","158435","Dogs of War","6.181","5.181","1","3-5","2.6391","7.52154","","","System.Object[]","System.Object[]"
"2-4","88","106","6","5.000-5.999","193738","Great Western Trail","6.171","5.171","1","2-4","3.6963","8.14252","","","System.Object[]","System.Object[]"
"2-4","89","106","6","5.000-5.999","275034","Judge Dredd: Helter Skelter","6.162","5.162","1","2-4","2.1053","7.25829","","","System.Object[]","System.Object[]"
"2-13","90","106","6","5.000-5.999","139030","Mascarade","6.152","5.152","1","2-13","1.5296","6.54978","","","System.Object[]","System.Object[]"
"2-5","91","106","6","5.000-5.999","66589","Navegador","6.143","5.143","1","2-5","3.0799","7.52576","","","System.Object[]","System.Object[]"
"1-5","92","106","6","5.000-5.999","300877","New York Zoo","6.133","5.133","1","1-5","1.9597","6.99673","","","System.Object[]","System.Object[]"
"2","93","106","6","5.000-5.999","329082","Radlands","6.124","5.124","1","2","2.2651","7.73121","","","System.Object[]","System.Object[]"
"2-4","94","106","6","5.000-5.999","237182","Root","6.114","5.114","1","2-4","3.8426","8.06906","","","System.Object[]","System.Object[]"
"2-7","95","106","6","5.000-5.999","159503","The Captain Is Dead","6.105","5.105","1","2-7","2.404","7.04251","","","System.Object[]","System.Object[]"
"2-4","96","106","6","5.000-5.999","276894","Ticket to Ride: London","6.095","5.095","1","2-4","1.3475","7.04154","","","Trains","System.Object[]"
"2-6","97","106","6","5.000-5.999","128621","Viticulture","6.086","5.086","1","2-6","2.9488","7.46806","","","System.Object[]","System.Object[]"
"1-5","98","106","6","5.000-5.999","266192","Wingspan","6.076","5.076","1","1-5","2.48","7.99382","","","System.Object[]","System.Object[]"
"2","99","106","6","5.000-5.999","184151","Legend of the Five Rings: The Card Game","6.067","5.067","1","2","4.0142","7.3401","","","System.Object[]","System.Object[]"
"1-4","100","106","6","5.000-5.999","368017","Point City","6.057","5.057","0","1-4","1.6903","7.12457","","","System.Object[]","System.Object[]"
"2-4","101","106","6","5.000-5.999","41","Can't Stop","6.048","5.048","7","2-4","1.1421","6.95254","","","System.Object[]","System.Object[]"
"1-100","102","106","6","5.000-5.999","263918","Cartographers","6.038","5.038","1","1-100","1.8914","7.54809","","","System.Object[]","System.Object[]"
"1-4","103","106","6","5.000-5.999","407180","Ganz schön clever: Deluxe","6.029","5.029","1","1-4","2.1667","7.83451","","","System.Object[]","System.Object[]"
"2-4","104","106","6","5.000-5.999","63975","Mountain Goats","6.019","5.019","1","2-4","1.1933","6.85201","","","System.Object[]","System.Object[]"
"1-4","105","106","6","5.000-5.999","73439","Troyes","6.01","5.01","1","1-4","3.3722","7.70118","","","System.Object[]","System.Object[]"
"2-5","106","106","6","5.000-5.999","27588","Zooloretto","6","5","1","2-5","1.8575","6.78284","","","Animals","System.Object[]"
